Nodes,Machines,Jobs,UB,LB,Gap,Runtime,Totallabels,LabelsT,Labelssame,Labelsdomi,Iteration
4,2,5,140.0556306,140.0556306,4.46E-15,158.741,19333,1553,0,3077,315
4,2,5,164.8531292,164.8531292,2.59E-15,169.848,20078,1575,0,3088,331
4,2,5,150.43078,150.43078,5.10E-15,165.191,19322,1240,0,3112,331
4,2,5,105.7677293,105.7677293,-9.41E-16,106.062,15070,1606,0,3518,227
4,2,5,107.2230101,107.2230101,6.23E-15,164.21,20340,434,0,4840,331
4,2,5,158.3774867,158.3774867,-2.87E-15,155.141,16947,1689,0,3930,291
4,2,5,120.8692731,120.8692731,1.18E-15,203.684,22928,1704,0,3630,395
4,2,5,115.828394,115.828394,-6.99E-15,181.25,18710,2617,0,2988,363
4,2,5,130.8562456,130.8562456,3.48E-15,160.968,18821,1528,0,3458,331
4,2,5,91.25092917,91.25092917,2.49E-15,267.48,27255,1672,0,3566,487
4,2,8,110,110,-7.75E-16,185.129,178044,22652,3774,163782,423
4,2,8,135.0974679,135.0974679,-1.68E-15,249.115,149236,27709,1870,113968,467
4,2,8,146.9681994,146.9681994,0,158.27,123775,14439,3776,90499,307
4,2,8,150.520931,150.520931,-7.55E-16,244.491,168123,14359,3495,137332,459
4,2,8,159.8745639,159.8745639,2.13E-15,178.361,151095,11814,2812,121582,347
4,2,8,79.91884684,79.91884684,1.03E-14,272.403,174466,17682,3430,141248,487
4,2,8,111.1220567,111.1220567,-2.30E-15,273.388,163528,25363,4542,129614,487
4,2,8,97.76323411,97.76323411,-5.52E-15,219.608,135121,20927,2620,111219,391
4,2,8,82.25088089,82.25088089,3.46E-15,242.083,145687,18762,5966,112949,459
4,2,8,123.6275926,123.6275926,1.15E-15,252.169,169977,16072,3805,139033,463
4,2,10,176.9891699,176.9891699,4.01E-15,170.505,157959,13975,4878,128807,347
4,2,10,167.4623723,167.4623723,3.56E-15,224.195,168261,21274,3022,123298,423
4,2,10,124.2155479,124.2155479,-8.01E-16,205.12,167496,22309,2358,116259,391
4,2,10,134.9946732,134.9946732,2.53E-15,274.068,219035,19400,6020,155121,487
4,2,10,166.807939,166.807939,0,176.388,159182,25702,5893,97412,355
4,2,10,112.5421648,112.5421648,1.39E-15,277.273,212211,22874,6392,137569,487
4,2,10,97.82844958,97.82844958,-2.32E-15,267.453,198171,29308,5692,129094,487
4,2,10,166.8623122,166.8623122,-1.02E-15,200.161,137830,24893,3006,106919,379
4,2,10,160.3750876,160.3750876,-2.84E-15,177.002,142883,21668,5691,96632,347
4,2,10,121.7680673,121.7680673,-3.73E-15,255.474,191429,23144,8302,137239,471
4,2,15,136.6655465,136.6655465,8.32E-16,273.22,704297,101896,30619,760839,487
4,2,15,160.5814021,160.5814021,3.36E-15,269.633,658091,75454,28823,683797,487
4,2,15,163.1550543,163.1550543,-2.44E-15,253.571,583181,90730,31252,590035,471
4,2,15,185.3580406,185.3580406,-4.75E-15,269.789,804908,103358,32734,803017,471
4,2,15,192.426498,192.426498,-2.95E-15,232.166,694939,97237,27636,737235,423
4,2,15,189.7130909,189.7130909,-2.70E-15,245.569,647948,80304,31291,650021,451
4,2,15,117.5243646,117.5243646,3.14E-15,261.654,584652,78786,29395,596258,487
4,2,15,155.8314093,155.8314093,-2.92E-15,264.226,665831,77898,29261,686855,487
4,2,15,123.4951037,123.4951037,-4.60E-15,272.296,754203,80341,33036,734275,487
4,2,15,153.1389,153.1389,3.71E-15,250.949,732657,96864,27363,696098,459
4,3,5,105.4915193,96.7420768,0.09044092,7200.858,417133,80055,7953,112335,3185
4,3,5,130.6288026,121.703711,0.073334589,7201.82,453859,67642,6490,134796,3092
4,3,5,89.8923575,69.40362644,0.295211246,7202.626,460228,47372,5628,153130,3084
4,3,5,172.3999499,172.3999499,2.14E-15,2821.024,408374,65691,13560,90147,2059
4,3,5,108.7026241,108.7026241,-1.83E-15,3523.698,287854,48552,6800,63982,2297
4,3,5,114.6826977,93.20783724,0.230397584,7202.37,530198,75887,9702,157776,3141
4,3,5,119.6131944,109.0656555,0.09670816,7202.027,484376,76529,9708,126638,3124
4,3,5,126.9998157,124.3834277,0.02103486,7201.794,497391,59902,5042,161542,3177
4,3,5,81.04267359,63.9546661,0.267189379,7201.769,489660,47965,6980,140754,3086
4,3,5,115.0881197,113.3358122,0.015461199,7203.273,534788,57198,6804,161294,3219
4,3,8,128.2624687,107.2980585,0.195384804,7202.923,2998154,492053,94375,2887433,3157
4,3,8,111.9443847,84.41602342,0.326103506,7201.866,3367268,670763,143003,3433845,3167
4,3,8,144.1124712,129.7916604,0.11033691,7203.639,2544177,585730,75046,2430153,3268
4,3,8,140.0256675,122.517107,0.142907067,7203.9,3271426,509245,77323,3186119,3280
4,3,8,120.6556573,120.6556573,1.77E-15,7154.521,2872520,565929,98727,2880230,3301
4,3,8,125.8729505,125.8729505,5.64E-16,7009.961,3416423,589379,129199,3519524,3283
4,3,8,113.2393687,101.0079576,0.12109354,7203.365,2746846,773615,107112,2461734,3267
4,3,8,118.2575501,115.0389208,0.027978611,7204.091,3064070,690396,112957,2907903,3295
4,3,8,96.1951137,96.1951137,1.33E-15,4573.391,2771217,495045,88552,2865556,2539
4,3,8,130.7031826,112.0964045,0.165989072,7200.193,3855104,482816,127145,4137806,3054
4,3,10,124.9019023,105.3445667,0.185651109,7204.898,3528221,997442,129141,3000091,3078
4,3,10,190.5842895,174.6899544,0.090985971,7203.799,3164191,581296,89983,2848914,3040
4,3,10,90.05437122,82.85499713,0.086891248,7201.108,3811932,901279,124199,3774793,3097
4,3,10,161.2032963,146.428265,0.100902864,7200.767,3449402,681304,124370,3375468,3154
4,3,10,110.705128,91.64358049,0.207996539,7201.385,3234637,621320,127076,3322102,3192
4,3,10,116.6335691,106.7841377,0.092236839,7202.165,3179281,732003,110188,3014460,3184
4,3,10,82.9881867,60.18072696,0.378982789,7203.894,3425806,703684,106235,2983792,3243
4,3,10,151.9519854,133.548322,0.137805277,7203.052,3527371,794337,119286,3110319,3246
4,3,10,127.5663844,104.0499721,0.22601075,7200.671,3335584,500410,116513,3048213,3179
4,3,10,126.0589194,93.60437607,0.346720363,7202.141,3503479,538267,80434,3351669,3168
4,3,15,96.4254057,63.40790449,0.520715855,7202.419,12819505,3265910,830779,15290520,3265
4,3,15,128.6199042,102.8384728,0.25069831,7201.754,12183371,2945817,628115,15008718,3251
4,3,15,170.0992074,152.5258293,0.115215752,7204.267,13226515,3056313,658744,16795368,3152
4,3,15,153.6501656,131.8846555,0.165034439,7200.383,10882544,1813137,629815,13402414,3157
4,3,15,109.5969632,61.95346088,0.769020836,7205.934,13315290,2906083,716080,16494510,3170
4,3,15,143.4470265,97.32521242,0.473893794,7200.314,11574569,2341644,531443,14366374,3092
4,3,15,171.0251146,141.8090437,0.206024032,7200.202,13184675,2609402,787725,16474058,3028
4,3,15,118.5417714,101.3372348,0.169775075,7203.854,9920587,2706647,501760,11248118,3082
4,3,15,146.6187962,137.2150032,0.068533271,7204.181,12515083,2571742,575597,15922890,3058
4,3,15,105.4464846,66.20656967,0.592689142,7201.114,10301975,1981021,536216,12649937,3133
4,4,5,69.01385084,32.01385084,1.155749747,7200.527,1173062,238111,42028,364034,3857
4,4,5,129.0310112,81.03101124,0.592365803,7200.039,1259453,143451,45401,496186,3895
4,4,5,101.5673805,72.56738052,0.399628591,7203.448,1051692,243425,41229,350667,3886
4,4,5,132.0713579,93.07135789,0.419033319,7203.651,1240934,153974,36292,450364,3869
4,4,5,168.4456648,113.4456648,0.48481359,7203.567,1325442,93139,47729,544421,3901
4,4,5,109.9208029,67.92080288,0.618367249,7201.012,1522633,231562,90456,501320,3965
4,4,5,133.3295273,97.32952731,0.369877477,7203.348,1446923,220764,55969,592084,3978
4,4,5,125.3920115,76.39201149,0.641428325,7203.253,1234908,195105,56082,411022,4040
4,4,5,99.33923834,70.33923834,0.41228766,7200.549,1314733,153725,40977,497601,3943
4,4,5,148.6886888,107.6886888,0.38072708,7202.69,1333152,122104,42579,564085,3930
4,4,8,59.31848756,28.31848756,1.094691231,7202.363,8633359,1655000,407447,9076495,4020
4,4,8,127.7023515,89.70235146,0.423623231,7200.619,9951218,1596963,455846,11351465,3968
4,4,8,114.0026501,75.00265009,0.519981627,7203.176,9463095,1831033,457423,10427299,3989
4,4,8,138.1993173,92.19931734,0.498919095,7200.674,7167481,1570602,351111,7582777,4050
4,4,8,131.4186259,84.41862589,0.556749171,7203.176,8201711,1696446,459493,9347697,4178
4,4,8,121.5594461,87.55944611,0.388307619,7200.37,9311138,2075251,482556,10614643,3978
4,4,8,116.7537134,69.7537134,0.673799253,7201.929,6227549,1254823,310943,6950500,3804
4,4,8,107.9600216,66.96002164,0.612305656,7200.453,6738179,1563370,335377,7172338,3752
4,4,8,122.3117849,83.31178487,0.468121047,7200.563,6682157,1561362,280244,7013759,3732
4,4,8,90.4788412,52.4788412,0.724101355,7201.071,7846117,1436402,408935,8858131,3818
4,4,10,136.4194854,88.41948538,0.542866765,7200.427,8830879,1445128,458698,9106120,3821
4,4,10,122.3021741,81.30217414,0.504291557,7200.754,7907164,1482429,348252,8202612,3764
4,4,10,167.0450238,122.0450238,0.368716385,7200.605,8598528,1875831,326154,8912520,3898
4,4,10,139.7370601,85.73706005,0.629832653,7203.129,10290528,1783391,548858,10770524,3857
4,4,10,109.08872,62.08872004,0.7569813,7204.299,9931767,1833794,510642,10859722,3994
4,4,10,116.6019876,64.60198758,0.804928795,7203.328,10881180,1934249,541281,11111661,3890
4,4,10,134.9685436,81.96854364,0.646589504,7201.833,9906227,1602713,464634,10696178,4132
4,4,10,148.5640848,98.56408483,0.50728417,7200.087,9965296,1592846,483354,10259068,3916
4,4,10,116.6753755,59.67537549,0.955167848,7204.079,9392097,1437863,377806,10079458,3818
4,4,10,129.4047504,83.40475042,0.551527338,7201.735,8344660,1613635,304648,8484580,3856
4,4,15,110.6409195,49.64091948,1.228824942,7200.756,28014038,6980927,1751948,38432731,3784
4,4,15,148.2939417,87.29394169,0.698788471,7200.967,28366827,6829722,1804521,39537355,3725
