Nodes,Machines,Jobs,UB,LB,Gap,Runtime,Totallabels,LabelsT,Labelssame,Labelsdomi,Iteration
3,2,5,150.8704997,150.8704997,-1.13E-15,1.938,4446,349,62,2261,27
3,2,5,78.607017,78.607017,-3.62E-15,1.716,3900,466,36,1832,27
3,2,5,105.8282113,105.8282113,5.37E-16,2.177,4691,447,52,2226,31
3,2,5,70.81707278,70.81707278,1.20E-15,1.536,2656,729,80,1239,23
3,2,5,75.04950926,75.04950926,-1.89E-15,2.012,3796,585,28,1940,31
3,2,5,97.25736596,97.25736596,5.84E-16,1.439,3653,467,88,1906,23
3,2,5,136.6398911,136.6398911,5.41E-15,1.513,4071,611,63,1669,23
3,2,5,116.3203733,116.3203733,2.44E-15,1.593,3780,569,77,1840,23
3,2,5,70.08800749,70.08800749,-3.65E-15,2.212,3912,564,36,1880,31
3,2,5,102.2597811,102.2597811,3.89E-15,1.547,3008,597,28,1583,23
3,2,8,100.8483067,100.8483067,-2.68E-15,3.215,12904,1799,362,9927,31
3,2,8,103.9458144,103.9458144,1.64E-15,2.747,11428,2318,212,8106,31
3,2,8,96.77708764,96.77708764,2.06E-15,2.134,12846,1238,310,10374,31
3,2,8,130.9267632,130.9267632,2.17E-15,1.88,12012,2351,372,8471,27
3,2,8,96.13315795,96.13315795,1.48E-15,2.492,12678,1694,410,9756,31
3,2,8,105.9233923,105.9233923,-8.05E-16,2.42,12040,1728,301,9265,28
3,2,8,132.2000597,132.2000597,-4.30E-16,1.369,12288,2150,401,9099,27
3,2,8,125.0856976,125.0856976,4.54E-16,1.937,13303,1596,302,10090,27
3,2,8,128.4770812,128.4770812,4.87E-15,1.669,12783,1666,260,10156,23
3,2,8,120.7131903,120.7131903,-8.24E-16,1.747,11684,2086,402,7825,27
3,2,10,145.0363466,145.0363466,2.74E-15,1.91,41038,7222,2522,45673,27
3,2,10,120.2997613,120.2997613,-2.60E-15,1.599,34570,4352,1903,39129,23
3,2,10,165.5194729,165.5194729,8.59E-16,1.933,32273,5274,1555,36085,27
3,2,10,111.9767191,111.9767191,-1.52E-15,2.279,39683,9366,2081,43498,31
3,2,10,159.5378732,159.5378732,-3.21E-15,1.699,36242,8647,2098,39481,27
3,2,10,160.1218263,160.1218263,2.49E-15,2.129,37538,8935,2028,42326,23
3,2,10,102.3562349,102.3562349,3.89E-15,1.953,39288,10378,1654,43981,27
3,2,10,129.9271737,129.9271737,6.56E-15,1.974,48531,5000,1828,46343,27
3,2,10,168.2077856,168.2077856,2.87E-15,2.175,42798,5644,2028,40626,27
3,2,10,95.6304616,95.6304616,-4.01E-15,2.352,42767,5433,1649,46907,31
3,2,15,110,110,-5.17E-16,226.79,1128855,107875,160555,1978344,31
3,2,15,111.5039417,111.5039417,-4.59E-15,53.724,556602,61407,95991,1069102,31
3,2,15,183.8347883,183.8347883,7.73E-16,54.346,604417,54714,102630,1203225,31
3,2,15,152.9442534,152.9442534,1.86E-15,64.592,650392,50987,117518,1264722,31
3,2,15,176.8573428,176.8573428,-1.61E-15,41.667,472337,70643,78745,932608,27
3,2,15,103.6204847,103.6204847,-8.23E-15,56.388,614588,71204,109506,1175767,31
3,2,15,149.8207354,149.8207354,-1.90E-15,53.181,520115,47283,87814,1039292,31
3,2,15,133.7215195,133.7215195,-6.38E-16,48.665,522313,51698,90085,1007988,31
3,2,15,115.6415382,115.6415382,-7.37E-16,52.044,510150,42747,85756,1013057,31
3,2,15,131.7278065,131.7278065,-3.02E-15,44.581,497350,63781,92243,963347,31
3,3,5,26.94427191,26.94427191,8.17E-15,14.41,46745,9540,872,28394,165
3,3,5,110.8190542,110.8190542,5.39E-15,10.422,40963,9502,1203,26745,99
3,3,5,100.1798085,100.1798085,-6.53E-15,9.756,41668,9003,555,27402,120
3,3,5,114.1798808,114.1798808,-3.73E-15,9.867,51620,11575,940,34466,120
3,3,5,102.3874673,102.3874673,-7.49E-15,9.95,49267,6587,940,33124,120
3,3,5,135.6511787,135.6511787,6.70E-15,9.463,50483,8168,1030,34232,120
3,3,5,120.4380684,120.4380684,-6.37E-15,11.604,42800,9292,792,30008,141
3,3,5,105.1458448,105.1458448,-8.11E-16,11.515,54011,10571,1463,35144,141
3,3,5,60.10031437,60.10031437,3.07E-15,9.605,50182,6723,990,34111,120
3,3,5,98.03929241,98.03929241,1.59E-15,9.187,49144,6398,926,32614,120
3,3,8,99.06370956,99.06370956,-5.74E-16,10.122,125831,24641,4648,125670,120
3,3,8,91.23951007,91.23951007,1.71E-15,9.887,131922,29372,3375,122290,120
3,3,8,81.76651729,81.76651729,4.87E-15,15.261,170313,29271,5475,148948,165
3,3,8,120.8933439,120.8933439,2.35E-16,12.292,147951,27074,4242,139463,141
3,3,8,115.7436217,115.7436217,2.21E-15,12.454,134970,28771,6736,125626,141
3,3,8,69.607017,69.607017,-4.08E-15,11.35,130569,26229,3489,120008,120
3,3,8,70,70,-4.06E-16,11.675,120944,27739,4153,112260,120
3,3,8,66.16920741,66.16920741,-4.30E-15,12.266,140252,29723,6011,134380,141
3,3,8,96.00612836,96.00612836,4.14E-15,10.332,127444,22062,3567,125015,120
3,3,8,62.55851291,62.55851291,6.59E-15,14.646,170886,29602,4804,152259,165
3,3,10,78.89406812,78.89406812,-7.21E-16,12.748,307558,100208,21803,381191,120
3,3,10,93.66731049,93.66731049,-3.03E-15,31.843,848563,89840,47064,770731,165
3,3,10,108.237716,108.237716,3.41E-15,15.935,365416,93031,23847,493990,141
3,3,10,108.1493818,108.1493818,-6.04E-15,16.909,399903,105610,23815,514361,141
3,3,10,137.335963,137.335963,-8.28E-16,13.733,336980,89165,19478,440870,120
3,3,10,117.7922264,117.7922264,-7.48E-15,17.872,477572,109792,32081,642467,141
3,3,10,83.39624345,83.39624345,-6.82E-16,16.006,437496,127836,22306,568880,120
3,3,10,77.53132723,77.53132723,-5.13E-15,19.929,484481,86736,28917,640640,165
3,3,10,139.911392,139.911392,-8.13E-16,14.254,408517,100789,26643,534281,120
3,3,10,96.05551275,96.05551275,4.44E-15,19.159,439285,95698,24388,552925,165
3,3,15,116.2911755,116.2911755,-2.69E-15,547.957,3834333,1065346,646664,8103719,120
3,3,15,173.9510589,173.9510589,1.14E-15,1047.53,5319827,1049765,792380,12309518,120
3,3,15,96.02041297,96.02041297,4.00E-15,1229.366,6396769,1065997,978925,14366803,165
3,3,15,122.6025964,122.6025964,1.16E-15,895.086,4909505,1319751,774620,10745915,141
3,3,15,140.9120495,140.9120495,-2.42E-15,1161.132,6349288,1163033,962002,14575275,141
3,3,15,98.6958212,98.6958212,4.03E-15,767.486,4705428,1351420,732803,10385756,120
3,3,15,128.8124165,128.8124165,-8.83E-16,852.355,5039234,886007,791901,11238485,141
3,3,15,133.0865389,133.0865389,8.54E-16,885.643,5754348,1138094,1027950,12733861,141
3,3,15,120.8640981,120.8640981,3.06E-15,837.997,5512961,1207440,1039929,11794625,165
3,3,15,84.8947223,84.8947223,7.37E-15,997.102,6027555,1258246,941161,13900634,165
3,4,5,108.0585044,108.0585044,-8.15E-15,73.564,593456,114519,24125,470552,535
3,4,5,84.95431248,84.95431248,1.84E-15,75.022,557208,77362,23951,406973,535
3,4,5,143.6674448,143.6674448,1.58E-15,53.519,562967,108585,27692,426817,451
3,4,5,82.33452874,82.33452874,2.07E-15,71.582,418483,98855,16259,306853,535
3,4,5,72.7471637,72.7471637,-3.91E-15,73.931,495903,96852,17579,380915,535
3,4,5,103.4954033,103.4954033,2.75E-16,51.928,484368,86159,20315,360058,451
3,4,5,98.66331688,98.66331688,-4.18E-15,74.58,561791,102022,31392,404245,535
3,4,5,129.8758063,129.8758063,-5.91E-15,49.676,475475,125202,21669,310063,451
3,4,5,92.14127384,92.14127384,-2.16E-15,77.394,613241,86665,26280,440896,535
3,4,5,87.28345665,87.28345665,-3.26E-15,75.468,527635,83353,21997,414839,535
3,4,8,135.5734254,135.5734254,-5.03E-15,56.327,1296034,382961,80831,1392535,451
3,4,8,100.906826,100.906826,4.79E-15,70.116,1830415,370149,106601,1986033,451
3,4,8,69.10233449,69.10233449,-2.06E-15,159.605,1951483,437854,88425,2072605,719
3,4,8,126.1563955,126.1563955,-2.48E-15,136.258,2057949,368737,131584,2237442,619
3,4,8,84.04133911,84.04133911,-6.09E-15,116.144,1483756,322439,65060,1585565,619
