Nodes,Machines,Jobs,UB,LB,Gap,Runtime,Totallabels,LabelsT,Labelssame,Labelsdomi,Iteration
3,4,8,107.494238,107.494238,1.32E-15,113.666,1408726,300232,88886,1474542,619
3,4,8,116,116,-7.35E-16,120.729,1797236,318015,98885,2036671,619
3,4,8,90.14735113,90.14735113,1.73E-15,109.984,1735358,229286,95458,1942489,535
3,4,8,61.43619675,61.43619675,-7.86E-15,174.508,1578626,362867,82383,1748438,719
3,4,8,85.51765967,85.51765967,-3.32E-15,116.763,2025968,364111,120152,2067008,535
3,4,10,104.8285576,104.8285576,-6.78E-16,245.335,4738635,1022826,313811,7166990,619
3,4,10,98.18094712,98.18094712,8.54E-15,247.93,4756768,1128124,348357,6910574,619
3,4,10,79.201619,79.201619,-9.33E-15,264.369,4151206,1332598,294139,5942411,719
3,4,10,139.6788178,139.6788178,-6.51E-15,266.65,4537651,1176979,400420,6218880,451
3,4,10,106.2387002,106.2387002,7.76E-15,185.8,3975469,1169219,279916,5528475,535
3,4,10,105.8547659,105.8547659,2.68E-16,278.438,4806206,1317265,365044,7119742,619
3,4,10,94.56025563,94.56025563,7.51E-15,220.147,4287506,1193541,313962,6339401,535
3,4,10,84.80301992,84.80301992,-8.71E-15,148.292,4827230,952878,320052,7486816,719
3,4,10,105.3558229,105.3558229,5.67E-15,217.586,4263599,975201,294573,6528167,535
3,4,10,65.23105626,65.23105626,6.54E-15,510.769,8399513,1353366,594281,9042438,535
3,4,15,158.2567011,89.2567011,0.773051201,7362,6623178,1466795,965187,16773981,110
3,4,15,159.1497874,101.1497874,0.573407038,7764.321,17136501,2618879,2520706,42774882,223
3,4,15,123.1080937,87.10809372,0.413279621,7421.262,20042990,6029112,2666049,49344493,262
3,4,15,94.15798274,45.15798274,1.085079471,7922.495,12663589,2442067,1750930,32735219,172
3,4,15,126.0695295,74.06952953,0.702043071,7459.774,12516752,2934566,1866058,31655592,176
3,4,15,113.2437776,59.24377762,0.911488129,7415.018,16107506,3661739,2371583,38844977,254
3,4,15,97.62062377,51.62062377,0.891116702,7305.978,15342238,3674009,1777267,38265041,220
3,4,15,104.3227169,51.32271687,1.032681106,8045.259,15266894,3468089,2080323,38430497,220
3,4,15,89.96326366,45.96326366,0.957286243,7846.657,12373836,2891306,1593466,31824956,162
3,4,15,77.32835588,38.32835588,1.017523426,7214.132,14201291,4145429,2108601,35121155,199
